session_day,time_utc,time_local,bar_idx_in_day,action,current_position,close,spread,raw_pnl,transaction_cost,net_pnl,mtm_pnl,equity,forced_close
2024-12-20,2024-12-20 10:44:00+00:00,2024-12-20 17:44:00+07:00,524,0,-1,1.03932,17,18.999999999991246,0.0,18.999999999991246,18.999999999991246,9528.99999999999,False
2024-12-20,2024-12-20 10:45:00+00:00,2024-12-20 17:45:00+07:00,525,0,-1,1.03935,17,-2.999999999997449,0.0,-2.999999999997449,-2.999999999997449,9525.999999999993,False
2024-12-20,2024-12-20 10:46:00+00:00,2024-12-20 17:46:00+07:00,526,0,-1,1.03926,18,8.999999999992347,0.0,8.999999999992347,8.999999999992347,9534.999999999985,False
2024-12-20,2024-12-20 10:47:00+00:00,2024-12-20 17:47:00+07:00,527,0,-1,1.0391,18,16.000000000016,0.0,16.000000000016,16.000000000016,9551.000000000002,False
2024-12-20,2024-12-20 10:48:00+00:00,2024-12-20 17:48:00+07:00,528,0,-1,1.03905,18,4.999999999988347,0.0,4.999999999988347,4.999999999988347,9555.99999999999,False
2024-12-20,2024-12-20 10:49:00+00:00,2024-12-20 17:49:00+07:00,529,0,-1,1.03924,18,-18.999999999991246,0.0,-18.999999999991246,-18.999999999991246,9537.0,False
2024-12-20,2024-12-20 10:50:00+00:00,2024-12-20 17:50:00+07:00,530,0,-1,1.03922,17,1.999999999990898,0.0,1.999999999990898,1.999999999990898,9538.99999999999,False
2024-12-20,2024-12-20 10:51:00+00:00,2024-12-20 17:51:00+07:00,531,0,-1,1.03929,17,-7.0000000000014495,0.0,-7.0000000000014495,-7.0000000000014495,9531.999999999989,False
2024-12-20,2024-12-20 10:52:00+00:00,2024-12-20 17:52:00+07:00,532,0,-1,1.03946,18,-17.000000000000348,0.0,-17.000000000000348,-17.000000000000348,9514.999999999989,False
2024-12-20,2024-12-20 10:53:00+00:00,2024-12-20 17:53:00+07:00,533,0,-1,1.03964,17,-17.999999999984695,0.0,-17.999999999984695,-17.999999999984695,9497.000000000004,False
2024-12-20,2024-12-20 10:54:00+00:00,2024-12-20 17:54:00+07:00,534,0,-1,1.03959,17,4.999999999988347,0.0,4.999999999988347,4.999999999988347,9501.999999999993,False
2024-12-20,2024-12-20 10:55:00+00:00,2024-12-20 17:55:00+07:00,535,0,-1,1.03939,19,19.999999999997797,0.0,19.999999999997797,19.999999999997797,9521.99999999999,False
2024-12-20,2024-12-20 10:56:00+00:00,2024-12-20 17:56:00+07:00,536,0,-1,1.03929,18,9.999999999998899,0.0,9.999999999998899,9.999999999998899,9531.999999999989,False
2024-12-20,2024-12-20 10:57:00+00:00,2024-12-20 17:57:00+07:00,537,0,-1,1.03905,19,24.000000000001798,0.0,24.000000000001798,24.000000000001798,9555.99999999999,False
2024-12-20,2024-12-20 10:58:00+00:00,2024-12-20 17:58:00+07:00,538,0,-1,1.03917,18,-11.999999999989797,0.0,-11.999999999989797,-11.999999999989797,9544.000000000002,False
2024-12-20,2024-12-20 10:59:00+00:00,2024-12-20 17:59:00+07:00,539,0,-1,1.03913,17,3.999999999981796,0.0,3.999999999981796,3.999999999981796,9547.999999999984,False
2024-12-20,2024-12-20 11:00:00+00:00,2024-12-20 18:00:00+07:00,540,0,-1,1.03903,17,10.000000000021103,0.0,10.000000000021103,10.000000000021103,9558.000000000005,False
2024-12-20,2024-12-20 11:01:00+00:00,2024-12-20 18:01:00+07:00,541,0,-1,1.03877,17,25.999999999992696,0.0,25.999999999992696,25.999999999992696,9583.999999999998,False
2024-12-20,2024-12-20 11:02:00+00:00,2024-12-20 18:02:00+07:00,542,0,-1,1.03869,17,8.000000000008,0.0,8.000000000008,8.000000000008,9592.000000000005,False
2024-12-20,2024-12-20 11:03:00+00:00,2024-12-20 18:03:00+07:00,543,0,-1,1.03862,17,6.999999999979245,0.0,6.999999999979245,6.999999999979245,9598.999999999985,False
2024-12-20,2024-12-20 11:04:00+00:00,2024-12-20 18:04:00+07:00,544,0,-1,1.03877,17,-14.999999999987246,0.0,-14.999999999987246,-14.999999999987246,9583.999999999998,False
2024-12-20,2024-12-20 11:05:00+00:00,2024-12-20 18:05:00+07:00,545,0,-1,1.03868,17,8.999999999992347,0.0,8.999999999992347,8.999999999992347,9592.99999999999,False
2024-12-20,2024-12-20 11:06:00+00:00,2024-12-20 18:06:00+07:00,546,0,-1,1.03861,17,7.0000000000014495,0.0,7.0000000000014495,7.0000000000014495,9599.999999999993,False
2024-12-20,2024-12-20 11:07:00+00:00,2024-12-20 18:07:00+07:00,547,0,-1,1.03846,17,15.00000000000945,0.0,15.00000000000945,15.00000000000945,9615.000000000002,False
2024-12-20,2024-12-20 11:08:00+00:00,2024-12-20 18:08:00+07:00,548,0,-1,1.03848,17,-2.0000000000131024,0.0,-2.0000000000131024,-2.0000000000131024,9612.999999999989,False
2024-12-20,2024-12-20 11:09:00+00:00,2024-12-20 18:09:00+07:00,549,0,-1,1.03847,17,1.0000000000065512,0.0,1.0000000000065512,1.0000000000065512,9613.999999999996,False
2024-12-20,2024-12-20 11:10:00+00:00,2024-12-20 18:10:00+07:00,550,0,-1,1.03821,17,25.999999999992696,0.0,25.999999999992696,25.999999999992696,9639.999999999989,False
2024-12-20,2024-12-20 11:11:00+00:00,2024-12-20 18:11:00+07:00,551,0,-1,1.03824,17,-2.999999999997449,0.0,-2.999999999997449,-2.999999999997449,9636.99999999999,False
2024-12-20,2024-12-20 11:12:00+00:00,2024-12-20 18:12:00+07:00,552,0,-1,1.03811,17,12.999999999996348,0.0,12.999999999996348,12.999999999996348,9649.999999999987,False
2024-12-20,2024-12-20 11:13:00+00:00,2024-12-20 18:13:00+07:00,553,0,-1,1.03812,17,-0.9999999999843467,0.0,-0.9999999999843467,-0.9999999999843467,9649.000000000004,False
2024-12-20,2024-12-20 11:14:00+00:00,2024-12-20 18:14:00+07:00,554,0,-1,1.03807,18,4.999999999988347,0.0,4.999999999988347,4.999999999988347,9653.999999999993,False
2024-12-20,2024-12-20 11:15:00+00:00,2024-12-20 18:15:00+07:00,555,0,-1,1.03816,17,-8.999999999992347,0.0,-8.999999999992347,-8.999999999992347,9645.0,False
2024-12-20,2024-12-20 11:16:00+00:00,2024-12-20 18:16:00+07:00,556,0,-1,1.03811,18,4.999999999988347,0.0,4.999999999988347,4.999999999988347,9649.999999999989,False
2024-12-20,2024-12-20 11:17:00+00:00,2024-12-20 18:17:00+07:00,557,0,-1,1.03825,17,-13.999999999980695,0.0,-13.999999999980695,-13.999999999980695,9636.00000000001,False
2024-12-20,2024-12-20 11:18:00+00:00,2024-12-20 18:18:00+07:00,558,0,-1,1.0382,17,4.999999999988347,0.0,4.999999999988347,4.999999999988347,9640.999999999998,False
