number,value,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_steps,params_vf_coef,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
10,-3.2187488372539175,5.423185466354652e-05,0.9535370610353718,0.9894065277856435,5.467213291194758e-05,5,0.6399291076567653,0.9970833333333333,7307.999999999976,-0.30724396336386284,198,optuna_a2c_t010,-0.2692000000000024,4373.0,0.5,COMPLETE,2026-05-15 10:15:51.913100,2026-05-15 10:20:00.759714
11,-36.52044768973873,7.907172569000188e-05,0.9545733847510142,0.9902724290764204,4.601810925917157e-05,6,0.6767085548562467,0.6969642857142857,-13077.999999999794,-2.446201481809113,1260,optuna_a2c_t011,-2.3077999999999794,25371.0,0.215625,COMPLETE,2026-05-15 10:20:00.777289,2026-05-15 10:22:16.735462
12,-85.0074874112015,5.517859415965307e-05,0.9506483810125348,0.9793940207999982,6.159474590220515e-05,52,0.7675297586413485,0.7975595238095238,-59274.999999999694,-8.461606243705862,3673,optuna_a2c_t012,-6.927499999999969,74858.0,0.06810982048574446,COMPLETE,2026-05-15 10:22:16.938280,2026-05-15 10:24:03.807085
13,-49.44222944793318,5.3514161657346204e-05,0.948188176223342,0.9393116648597638,4.441279673315895e-05,5,0.521834696999058,0.8519047619047619,-59896.00000000066,-7.96546110012804,2525,optuna_a2c_t013,-6.989600000000067,60504.0,0.14941022280471822,COMPLETE,2026-05-15 10:24:03.818076,2026-05-15 10:26:15.375152
14,-21.059714441364203,1.6045116261811027e-06,0.9064982500614586,0.9784715688808749,0.0020690550086963316,44,0.48822812732753174,0.9934226190476191,-18668.999999999764,-2.9795355741702667,787,optuna_a2c_t014,-2.8668999999999762,22358.0,0.17667844522968199,COMPLETE,2026-05-15 10:26:15.389150,2026-05-15 10:28:00.952783
15,-3.757420503299152,0.0002031211815288112,0.9352586152146338,0.9491927696448118,0.009956055660659048,70,0.8181953821711152,0.9914285714285714,6937.99999999988,-0.34768710041369777,128,optuna_a2c_t015,-0.306200000000012,2610.0,0.328125,COMPLETE,2026-05-15 10:28:00.967784,2026-05-15 10:29:44.026774
16,-8.905744646023505,0.00048496536016620975,0.9701571652732295,0.945733532078293,0.008461387541700624,76,0.8228063420467712,0.998125,3240.0000000001496,-0.6908092425655246,217,optuna_a2c_t016,-0.6759999999999851,6156.0,0.3548387096774194,COMPLETE,2026-05-15 10:29:44.039771,2026-05-15 10:31:30.718403
17,-68.14971310475946,1.632446957312047e-05,0.9402425289308923,0.9392121280303997,0.0013791192863365533,65,0.8192176235101606,0.5151488095238095,-24169.000000000196,-3.6414207650273642,1789,optuna_a2c_t017,-3.4169000000000196,36153.0,0.07574094401756312,COMPLETE,2026-05-15 10:31:30.732387,2026-05-15 10:33:14.029194
18,-13.769561738514087,0.014548840051623815,0.966769494713239,0.95417060872347,0.00649656036348796,63,0.6483339605894611,0.02056547619047619,815.0000000000235,-0.9173595619549763,479,optuna_a2c_t018,-0.9184999999999977,9975.0,0.10317460317460317,COMPLETE,2026-05-15 10:33:14.041196,2026-05-15 10:34:58.566719
19,-23.78293847287134,1.3118603842418698e-06,0.8867730962625588,0.9306589086596035,2.238399248748661e-05,43,0.7459819881112022,0.3316071428571429,-23469.00000000006,-3.5371891891891893,1523,optuna_a2c_t019,-3.346900000000006,31237.0,0.15316455696202533,COMPLETE,2026-05-15 10:34:58.580699,2026-05-15 10:36:43.668117
