number,value,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_vf_coef,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
10,-123.69411328000493,256,0.18310253608813382,0.06292942010319491,0.9489321798901471,0.9645347885270397,0.0068455702672729195,20,512,0.7209773259922996,0.4253571428571429,-118923.00000000007,-36.246887966804195,6054,optuna_ppo_t010,-12.892300000000008,129593.0,0.05805038335158817,COMPLETE,2026-05-13 10:35:25.740072,2026-05-13 10:36:49.731300
11,-8.928470714689823,256,0.1925739201785581,1.1309920519852888e-06,0.9286986069176786,0.96120877932844,0.0003799934985576662,20,2048,0.9909201355343362,0.7758333333333334,6056.99999999987,-0.4035532994924002,235,optuna_ppo_t011,-0.39430000000001303,4140.0,0.42857142857142855,COMPLETE,2026-05-13 10:36:49.744301,2026-05-13 10:38:15.513946
12,-17.103085862293195,256,0.17368864841443624,1.3698263313656784e-06,0.9405258299338581,0.9602983124799407,0.00023094680087154952,20,1024,0.9953344830818425,0.3302380952380952,5929.9999999999245,-0.4200385356454822,220,optuna_ppo_t012,-0.4070000000000075,3906.0,0.25225225225225223,COMPLETE,2026-05-13 10:38:15.525951,2026-05-13 10:39:41.715178
13,-17.1123093348939,256,0.05894232318369022,4.4967458231043054e-05,0.9371009216257868,0.9722783397178965,0.00044113102117334947,17,512,0.7427134538900166,0.8516071428571429,928.0000000001476,-0.892716763005764,438,optuna_ppo_t013,-0.9071999999999852,8681.0,0.28688524590163933,COMPLETE,2026-05-13 10:39:41.728165,2026-05-13 10:41:03.927135
14,-43.02947851635098,64,0.15128488380636496,4.365782721243986e-05,0.9071853080953495,0.9986969846466371,1.095017215723929e-05,18,2048,0.7753880729997072,0.5071428571428571,-27914.99999999996,-4.564678840505668,2050,optuna_ppo_t014,-3.7914999999999957,36871.0,0.08574181117533719,COMPLETE,2026-05-13 10:41:03.939144,2026-05-13 10:43:00.839800
15,-8.657175560397313,256,0.2153146966968203,0.0023070864734734565,0.9577793644440581,0.9553891837264398,0.0002102590948512156,17,512,0.9986844488859679,0.5295238095238095,5567.000000000066,-0.4457387495021832,305,optuna_ppo_t015,-0.44329999999999337,5494.0,0.36538461538461536,COMPLETE,2026-05-13 10:43:00.850800,2026-05-13 10:44:25.002088
16,-4.7474573137544445,128,0.09595023709001867,0.004071246543009635,0.9677600454356391,0.9473047482638518,0.00016025279609722593,17,512,0.8338872932515926,0.9955357142857143,7625.999999999982,-0.21340897369778275,137,optuna_ppo_t016,-0.23740000000000183,3249.0,0.41935483870967744,COMPLETE,2026-05-13 10:44:25.014586,2026-05-13 10:45:58.492823
17,0.3850301745648388,128,0.09436252009903716,0.0054965248586139985,0.9707601740889749,0.9428021245649091,7.598095692444107e-05,16,512,0.8212638525264315,0.996904761904762,10126.000000000044,-0.13426853707414782,68,optuna_ppo_t017,0.012600000000004366,1260.0,0.5277777777777778,COMPLETE,2026-05-13 10:45:58.504806,2026-05-13 10:47:30.452899
18,-15.340256853369487,128,0.08435961012715523,0.006778563747148763,0.9691481729073806,0.9271655373858407,7.127108553388698e-05,15,512,0.6358450096418293,0.872202380952381,1024.9999999998383,-0.8830842933728938,364,optuna_ppo_t018,-0.8975000000000162,7564.0,0.215962441314554,COMPLETE,2026-05-13 10:47:30.466883,2026-05-13 10:49:00.428547
19,-50.85525400111992,128,0.05278929561605233,0.06750218574945105,0.9969406405017215,0.9437581667882743,2.070613500621157e-05,16,512,0.47633867405386665,0.3248214285714286,-16848.999999999964,-3.0729576771653373,1498,optuna_ppo_t019,-2.6848999999999963,26854.0,0.10635538261997406,COMPLETE,2026-05-13 10:49:00.440548,2026-05-13 10:50:31.618358
20,-30.9625964282278,128,0.09309169267006923,0.012564335836651048,0.9730218484344075,0.9223684683531126,4.407619277540249e-05,17,1024,0.6387139404393273,0.3692261904761905,1603.0000000001764,-0.829104477611921,502,optuna_ppo_t020,-0.8396999999999823,9105.0,0.27413127413127414,COMPLETE,2026-05-13 10:50:31.630359,2026-05-13 10:52:05.071509
