step,episode,ep_return,ep_length,epsilon,avg_loss,buffer_size,learn_steps,wall_time_s
33000,44,-0.19750000000000661,308,0.373,6.426202620843924e-06,33000,32001,146.1298542022705
34000,45,-0.4021000000000166,468,0.354,5.0521592526706626e-06,34000,33001,151.58018922805786
35000,46,-0.5145999999999995,628,0.3350000000000001,3.6197626856164787e-06,35000,34001,157.63034510612488
36000,47,-0.5261000000000091,788,0.31600000000000006,3.49580310478359e-06,36000,35001,163.77670454978943
37000,49,-0.037600000000003714,108,0.29700000000000004,3.988875872721564e-06,37000,36001,169.8271188735962
38000,50,-0.15760000000002386,268,0.278,2.8831587172817306e-06,38000,37001,176.10594582557678
39000,51,-0.21590000000000753,428,0.259,3.1331208637084275e-06,39000,38001,182.3870496749878
40000,52,-0.29610000000001296,588,0.24,3.2019108648455585e-06,40000,39001,186.2492184638977
41000,53,-0.43240000000000667,748,0.22100000000000009,3.2256559437655596e-06,41000,40001,191.78424668312073
42000,55,-0.03500000000000412,68,0.20200000000000007,3.0721772634478837e-06,42000,41001,196.0367922782898
43000,56,-0.09780000000000265,228,0.18300000000000005,3.3258707762229277e-06,43000,42001,202.17424988746643
44000,57,-0.09840000000000387,388,0.16400000000000003,3.0344451926112013e-06,44000,43001,208.31714916229248
45000,58,-0.20069999999999336,548,0.14500000000000002,2.5985775495769304e-06,45000,44001,214.2422058582306
46000,59,-0.19690000000000402,708,0.126,3.0204464116536657e-06,46000,45001,220.6298770904541
47000,61,-0.005100000000001165,28,0.1070000000000001,2.1488954748747345e-06,47000,46001,226.88655042648315
48000,62,-0.026399999999996544,188,0.08800000000000008,2.0946727343869043e-06,48000,47001,233.3626208305359
49000,63,-0.07990000000000175,348,0.06900000000000006,1.991413599370162e-06,49000,48001,239.6923747062683
50000,64,-0.055300000000001445,508,0.050000000000000044,1.6274309852519763e-06,50000,49001,245.82932090759277
51000,65,-0.11670000000000025,668,0.050000000000000044,2.2045239965962083e-06,51000,50001,259.3443706035614
52000,66,-0.13570000000000496,828,0.050000000000000044,1.6609618304244123e-06,52000,51001,265.63705563545227
53000,68,-0.013799999999997637,148,0.050000000000000044,1.689276496392722e-06,53000,52001,271.5803360939026
54000,69,-0.033199999999995775,308,0.050000000000000044,1.7896121456431046e-06,54000,53001,278.4258635044098
55000,70,-0.08339999999999954,468,0.050000000000000044,1.60651627757602e-06,55000,54001,284.7003073692322
56000,71,-0.045700000000000365,628,0.050000000000000044,1.3092009440924813e-06,56000,55001,291.0015332698822
57000,72,-0.08649999999999952,788,0.050000000000000044,1.4793475549481626e-06,57000,56001,298.67063212394714
58000,74,-0.015299999999999682,108,0.050000000000000044,1.3760438681345022e-06,58000,57001,305.02637934684753
59000,75,-0.050500000000000864,268,0.050000000000000044,1.3024112793118548e-06,59000,58001,310.2483403682709
60000,76,-0.04580000000000004,428,0.050000000000000044,1.2781064806404174e-06,60000,59001,312.8868176937103
61000,77,-0.07060000000000642,588,0.050000000000000044,1.2649812524898607e-06,61000,60001,317.3940613269806
62000,78,-0.0882000000000099,748,0.050000000000000044,1.4320137727850123e-06,62000,61001,319.89854407310486
63000,80,0.0002999999999987544,68,0.050000000000000044,1.6185167753235418e-06,63000,62001,322.69863772392273
64000,81,-0.028399999999997125,228,0.050000000000000044,1.5886041347243918e-06,64000,63001,325.10304594039917
